18,-1,169.00,15.00,883.00,660.00,0.70,-1,-1,-1
19,-1,310.00,310.00,208.00,400.00,1.00,-1,-1,-1
19,-1,793.00,141.00,198.00,194.00,0.98,-1,-1,-1
19,-1,597.00,192.00,63.00,74.00,0.87,-1,-1,-1
19,-1,367.00,538.00,87.00,145.00,0.85,-1,-1,-1
20,-1,301.00,303.00,216.00,399.00,1.00,-1,-1,-1
20,-1,790.00,141.00,197.00,197.00,0.99,-1,-1,-1
20,-1,362.00,536.00,95.00,151.00,0.86,-1,-1,-1
20,-1,596.00,192.00,64.00,76.00,0.73,-1,-1,-1
20,-1,747.00,107.00,261.00,255.00,0.72,-1,-1,-1
21,-1,298.00,299.00,213.00,384.00,1.00,-1,-1,-1
21,-1,791.00,137.00,193.00,196.00,0.99,-1,-1,-1
21,-1,360.00,533.00,95.00,160.00,0.78,-1,-1,-1
21,-1,755.00,119.00,261.00,247.00,0.74,-1,-1,-1
22,-1,304.00,288.00,210.00,420.00,1.00,-1,-1,-1
22,-1,791.00,137.00,194.00,197.00,0.99,-1,-1,-1
22,-1,341.00,524.00,139.00,184.00,0.79,-1,-1,-1
22,-1,597.00,191.00,64.00,78.00,0.77,-1,-1,-1
23,-1,307.00,294.00,209.00,415.00,1.00,-1,-1,-1
23,-1,788.00,141.00,199.00,198.00,0.99,-1,-1,-1
23,-1,363.00,537.00,92.00,144.00,0.79,-1,-1,-1
24,-1,309.00,292.00,215.00,412.00,1.00,-1,-1,-1
24,-1,788.00,139.00,198.00,198.00,0.99,-1,-1,-1
24,-1,596.00,190.00,65.00,78.00,0.86,-1,-1,-1
24,-1,366.00,541.00,85.00,126.00,0.79,-1,-1,-1
25,-1,306.00,294.00,222.00,410.00,1.00,-1,-1,-1
25,-1,787.00,138.00,200.00,200.00,0.99,-1,-1,-1
25,-1,597.00,190.00,64.00,79.00,0.85,-1,-1,-1
25,-1,173.00,7.00,758.00,654.00,0.75,-1,-1,-1
25,-1,365.00,541.00,86.00,127.00,0.74,-1,-1,-1
26,-1,307.00,293.00,224.00,415.00,1.00,-1,-1,-1
26,-1,787.00,138.00,200.00,200.00,0.99,-1,-1,-1
26,-1,597.00,191.00,63.00,77.00,0.94,-1,-1,-1
26,-1,362.00,539.00,92.00,142.00,0.74,-1,-1,-1
26,-1,180.00,0.00,775.00,694.00,0.74,-1,-1,-1
27,-1,310.00,294.00,226.00,403.00,1.00,-1,-1,-1
27,-1,788.00,133.00,193.00,205.00,1.00,-1,-1,-1
27,-1,596.00,191.00,64.00,78.00,0.84,-1,-1,-1
27,-1,200.00,9.00,908.00,657.00,0.78,-1,-1,-1
28,-1,789.00,129.00,191.00,211.00,1.00,-1,-1,-1
28,-1,320.00,280.00,221.00,432.00,0.98,-1,-1,-1
28,-1,183.00,16.00,923.00,656.00,0.80,-1,-1,-1
28,-1,596.00,192.00,63.00,77.00,0.78,-1,-1,-1
29,-1,789.00,126.00,194.00,220.00,0.99,-1,-1,-1
29,-1,335.00,279.00,214.00,418.00,0.99,-1,-1,-1
29,-1,597.00,191.00,64.00,78.00,0.96,-1,-1,-1
29,-1,370.00,535.00,95.00,157.00,0.79,-1,-1,-1
30,-1,329.00,266.00,230.00,445.00,1.00,-1,-1,-1
30,-1,788.00,122.00,180.00,218.00,0.99,-1,-1,-1
30,-1,596.00,190.00,67.00,79.00,0.96,-1,-1,-1
30,-1,999.00,541.00,14.00,50.00,0.74,-1,-1,-1
31,-1,331.00,272.00,238.00,430.00,1.00,-1,-1,-1
31,-1,789.00,125.00,175.00,211.00,0.99,-1,-1,-1
31,-1,597.00,191.00,65.00,76.00,0.97,-1,-1,-1
32,-1,348.00,262.00,219.00,444.00,1.00,-1,-1,-1
32,-1,788.00,121.00,175.00,214.00,1.00,-1,-1,-1
32,-1,597.00,190.00,65.00,77.00,0.97,-1,-1,-1
33,-1,348.00,251.00,226.00,460.00,1.00,-1,-1,-1
33,-1,783.00,119.00,180.00,223.00,0.99,-1,-1,-1
33,-1,596.00,191.00,65.00,76.00,0.99,-1,-1,-1
34,-1,368.00,248.00,209.00,466.00,1.00,-1,-1,-1
34,-1,784.00,121.00,184.00,223.00,0.99,-1,-1,-1
34,-1,596.00,192.00,65.00,76.00,0.98,-1,-1,-1
34,-1,714.00,78.00,298.00,304.00,0.91,-1,-1,-1
34,-1,687.00,441.00,12.00,150.00,0.71,-1,-1,-1
35,-1,387.00,239.00,202.00,471.00,1.00,-1,-1,-1
35,-1,788.00,124.00,188.00,211.00,0.99,-1,-1,-1
35,-1,596.00,192.00,65.00,77.00,0.98,-1,-1,-1
35,-1,687.00,442.00,12.00,149.00,0.77,-1,-1,-1
35,-1,997.00,541.00,16.00,50.00,0.71,-1,-1,-1
36,-1,419.00,235.00,179.00,474.00,1.00,-1,-1,-1
36,-1,789.00,121.00,193.00,224.00,1.00,-1,-1,-1
36,-1,597.00,193.00,64.00,76.00,0.97,-1,-1,-1
37,-1,438.00,236.00,165.00,471.00,1.00,-1,-1,-1
37,-1,788.00,126.00,190.00,217.00,1.00,-1,-1,-1
37,-1,596.00,193.00,65.00,77.00,0.98,-1,-1,-1
37,-1,312.00,525.00,151.00,176.00,0.74,-1,-1,-1
38,-1,450.00,232.00,169.00,477.00,1.00,-1,-1,-1
38,-1,787.00,123.00,191.00,221.00,1.00,-1,-1,-1
38,-1,596.00,192.00,65.00,78.00,0.98,-1,-1,-1
38,-1,190.00,0.00,485.00,613.00,0.73,-1,-1,-1
39,-1,456.00,232.00,164.00,476.00,1.00,-1,-1,-1
39,-1,787.00,125.00,189.00,220.00,1.00,-1,-1,-1
39,-1,597.00,192.00,64.00,78.00,0.98,-1,-1,-1
39,-1,306.00,525.00,160.00,186.00,0.89,-1,-1,-1
39,-1,185.00,0.00,482.00,625.00,0.73,-1,-1,-1
39,-1,950.00,601.00,20.00,78.00,0.71,-1,-1,-1
40,-1,460.00,230.00,176.00,476.00,1.00,-1,-1,-1
40,-1,786.00,122.00,182.00,221.00,1.00,-1,-1,-1
40,-1,596.00,192.00,65.00,78.00,0.99,-1,-1,-1
40,-1,950.00,600.00,20.00,77.00,0.83,-1,-1,-1
40,-1,304.00,523.00,164.00,189.00,0.78,-1,-1,-1
40,-1,965.00,602.00,15.00,73.00,0.77,-1,-1,-1
40,-1,183.00,0.00,460.00,594.00,0.73,-1,-1,-1
41,-1,466.00,230.00,178.00,473.00,1.00,-1,-1,-1
41,-1,787.00,122.00,182.00,220.00,1.00,-1,-1,-1
41,-1,596.00,192.00,65.00,77.00,0.98,-1,-1,-1
41,-1,306.00,522.00,163.00,189.00,0.89,-1,-1,-1
42,-1,464.00,224.00,186.00,487.00,1.00,-1,-1,-1
42,-1,786.00,121.00,185.00,220.00,1.00,-1,-1,-1
42,-1,596.00,191.00,65.00,78.00,0.97,-1,-1,-1
42,-1,303.00,523.00,170.00,186.00,0.89,-1,-1,-1
